"","Package","LibPath","Version","Priority","Built"
"115","ggridges","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.0",NA,"3.4.4"
"116","gh","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.1",NA,"3.5.3"
"117","git2r","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.26.1",NA,"3.5.3"
"118","glmnet","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0-16",NA,"3.4.4"
"119","glue","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.1",NA,"3.6.2"
"120","gmm","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6-2",NA,"3.4.4"
"121","gmodels","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.18.1",NA,"3.5.3"
"122","gmp","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5-13.1",NA,"3.4.4"
"123","goftest","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-1",NA,"3.4.1"
"124","gower","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.1",NA,"3.5.3"
"125","gplots","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.0.1",NA,"3.4.4"
"126","graphics","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"127","grDevices","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"128","grid","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"129","gridExtra","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.3",NA,"3.4.4"
"130","gsubfn","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.7",NA,"3.4.4"
"131","gtable","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.0",NA,"3.6.2"
"132","gtools","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.8.1",NA,"3.5.2"
"133","haven","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.2.0",NA,"3.6.2"
"134","here","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1",NA,"3.4.4"
"135","highr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8",NA,"3.6.2"
"136","Hmisc","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.2-0",NA,"3.5.2"
"137","hms","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.3",NA,"3.6.1"
"138","HSAUR2","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-17",NA,"3.4.4"
"139","htmlTable","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.12",NA,"3.4.4"
"140","htmltools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4.0",NA,"3.6.2"
"141","htmlwidgets","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2",NA,"3.4.4"
"142","httpuv","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5.1",NA,"3.5.3"
"143","httr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.1",NA,"3.6.2"
